YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2061,139.6082,139.6082,139.6082,139.6082,139.6082,139.6082,139.6082,139.6082,139.6082,139.6082,139.6082,139.6082
2062,140.2297,140.2297,140.2297,140.2297,140.2297,140.2297,140.2297,140.2297,140.2297,140.2297,140.2297,140.2297
2063,140.8543,140.8543,140.8543,140.8543,140.8543,140.8543,140.8543,140.8543,140.8543,140.8543,140.8543,140.8543
2064,141.4823,141.4823,141.4823,141.4823,141.4823,141.4823,141.4823,141.4823,141.4823,141.4823,141.4823,141.4823
2065,142.1136,142.1136,142.1136,142.1136,142.1136,142.1136,142.1136,142.1136,142.1136,142.1136,142.1136,142.1136
2066,142.7478,142.7478,142.7478,142.7478,142.7478,142.7478,142.7478,142.7478,142.7478,142.7478,142.7478,142.7478
2067,143.3851,143.3851,143.3851,143.3851,143.3851,143.3851,143.3851,143.3851,143.3851,143.3851,143.3851,143.3851
2068,144.0257,144.0257,144.0257,144.0257,144.0257,144.0257,144.0257,144.0257,144.0257,144.0257,144.0257,144.0257
2069,144.6695,144.6695,144.6695,144.6695,144.6695,144.6695,144.6695,144.6695,144.6695,144.6695,144.6695,144.6695
2070,145.3165,145.3165,145.3165,145.3165,145.3165,145.3165,145.3165,145.3165,145.3165,145.3165,145.3165,145.3165
2071,145.9668,145.9668,145.9668,145.9668,145.9668,145.9668,145.9668,145.9668,145.9668,145.9668,145.9668,145.9668
2072,146.6202,146.6202,146.6202,146.6202,146.6202,146.6202,146.6202,146.6202,146.6202,146.6202,146.6202,146.6202
2073,147.277,147.277,147.277,147.277,147.277,147.277,147.277,147.277,147.277,147.277,147.277,147.277
2074,147.9371,147.9371,147.9371,147.9371,147.9371,147.9371,147.9371,147.9371,147.9371,147.9371,147.9371,147.9371
2075,148.6004,148.6004,148.6004,148.6004,148.6004,148.6004,148.6004,148.6004,148.6004,148.6004,148.6004,148.6004
2076,149.267,149.267,149.267,149.267,149.267,149.267,149.267,149.267,149.267,149.267,149.267,149.267
2077,149.937,149.937,149.937,149.937,149.937,149.937,149.937,149.937,149.937,149.937,149.937,149.937
2078,150.6104,150.6104,150.6104,150.6104,150.6104,150.6104,150.6104,150.6104,150.6104,150.6104,150.6104,150.6104
2079,151.2871,151.2871,151.2871,151.2871,151.2871,151.2871,151.2871,151.2871,151.2871,151.2871,151.2871,151.2871
2080,151.9672,151.9672,151.9672,151.9672,151.9672,151.9672,151.9672,151.9672,151.9672,151.9672,151.9672,151.9672
