YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2060,121.1782,121.1782,121.1782,121.1782,121.1782,121.1782,121.1782,121.1782,121.1782,121.1782,121.1782,121.1782
2061,121.6008,121.6008,121.6008,121.6008,121.6008,121.6008,121.6008,121.6008,121.6008,121.6008,121.6008,121.6008
2062,122.0255,122.0255,122.0255,122.0255,122.0255,122.0255,122.0255,122.0255,122.0255,122.0255,122.0255,122.0255
2063,122.4524,122.4524,122.4524,122.4524,122.4524,122.4524,122.4524,122.4524,122.4524,122.4524,122.4524,122.4524
2064,122.8815,122.8815,122.8815,122.8815,122.8815,122.8815,122.8815,122.8815,122.8815,122.8815,122.8815,122.8815
2065,123.3127,123.3127,123.3127,123.3127,123.3127,123.3127,123.3127,123.3127,123.3127,123.3127,123.3127,123.3127
2066,123.746,123.746,123.746,123.746,123.746,123.746,123.746,123.746,123.746,123.746,123.746,123.746
2067,124.1815,124.1815,124.1815,124.1815,124.1815,124.1815,124.1815,124.1815,124.1815,124.1815,124.1815,124.1815
2068,124.6192,124.6192,124.6192,124.6192,124.6192,124.6192,124.6192,124.6192,124.6192,124.6192,124.6192,124.6192
2069,125.0591,125.0591,125.0591,125.0591,125.0591,125.0591,125.0591,125.0591,125.0591,125.0591,125.0591,125.0591
2070,125.5012,125.5012,125.5012,125.5012,125.5012,125.5012,125.5012,125.5012,125.5012,125.5012,125.5012,125.5012
2071,125.9455,125.9455,125.9455,125.9455,125.9455,125.9455,125.9455,125.9455,125.9455,125.9455,125.9455,125.9455
2072,126.392,126.392,126.392,126.392,126.392,126.392,126.392,126.392,126.392,126.392,126.392,126.392
2073,126.8407,126.8407,126.8407,126.8407,126.8407,126.8407,126.8407,126.8407,126.8407,126.8407,126.8407,126.8407
2074,127.2917,127.2917,127.2917,127.2917,127.2917,127.2917,127.2917,127.2917,127.2917,127.2917,127.2917,127.2917
2075,127.745,127.745,127.745,127.745,127.745,127.745,127.745,127.745,127.745,127.745,127.745,127.745
2076,128.2005,128.2005,128.2005,128.2005,128.2005,128.2005,128.2005,128.2005,128.2005,128.2005,128.2005,128.2005
2077,128.6582,128.6582,128.6582,128.6582,128.6582,128.6582,128.6582,128.6582,128.6582,128.6582,128.6582,128.6582
2078,129.1183,129.1183,129.1183,129.1183,129.1183,129.1183,129.1183,129.1183,129.1183,129.1183,129.1183,129.1183
2079,129.5807,129.5807,129.5807,129.5807,129.5807,129.5807,129.5807,129.5807,129.5807,129.5807,129.5807,129.5807
2080,130.0454,130.0454,130.0454,130.0454,130.0454,130.0454,130.0454,130.0454,130.0454,130.0454,130.0454,130.0454
