YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2068,5497.725,139.4274,115.4373,234.1921,2127.234,3179.985,1274.391,70.32873,441.1424,88.8828,36.06973,550.8912
2069,5492.228,139.8834,114.1225,236.2822,2125.107,3212.365,1273.116,70.2584,440.7013,89.20837,36.03366,553.2803
2070,5486.735,140.3486,112.7633,238.4063,2122.982,3244.955,1271.843,70.18814,440.2606,89.54123,35.99763,555.6714
2071,5481.249,140.823,111.3594,240.5648,2120.859,3277.76,1270.572,70.11795,439.8203,89.88145,35.96163,558.0646
2072,5475.767,141.3068,109.9101,242.7582,2118.738,3310.782,1269.301,70.04784,439.3805,90.22913,35.92567,560.4598
2073,5470.292,141.8001,108.415,244.987,2116.62,3344.026,1268.032,69.97779,438.9411,90.58436,35.88974,562.8572
2074,5464.821,142.303,106.8736,247.2516,2114.503,3377.497,1266.764,69.90781,438.5022,90.9472,35.85386,565.2567
2075,5459.356,142.8155,105.2852,249.5524,2112.388,3411.197,1265.497,69.83791,438.0637,91.31777,35.818,567.6582
2076,5453.897,143.3378,103.6494,251.89,2110.276,3445.13,1264.231,69.76807,437.6256,91.69614,35.78218,570.0619
2077,5448.443,143.8699,101.9656,254.2649,2108.166,3479.302,1262.967,69.6983,437.188,92.08242,35.7464,572.4677
2078,5442.995,144.412,100.2332,256.6774,2106.058,3513.715,1261.704,69.6286,436.7508,92.47668,35.71066,574.8757
2079,5437.552,144.9642,98.45177,259.1282,2103.952,3548.375,1260.442,69.55898,436.3141,92.87902,35.67495,577.2858
2080,5432.114,145.5265,96.62061,261.6177,2101.848,3583.285,1259.182,69.48942,435.8778,93.28954,35.63927,579.698
