YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2057,5.548392558,123.23583,1446.145123,26.01496763,0.81743038,1,1,93.06089406,4.175586349,4.211072445,72.55626907,114.6107188
2058,5.521077204,123.569942,1454.091271,26.16709048,0.816786032,1,1,93.01628077,4.150691671,4.03197535,72.52475757,115.8020615
2059,5.493896327,123.9049598,1462.081081,26.32010288,0.816142192,1,1,92.97168887,4.125945415,3.860495263,72.49325975,117.0057879
2060,5.466849264,124.240886,1470.114793,26.47401002,0.81549886,1,1,92.92711835,4.101346694,3.696308231,72.46177562,118.2220266
2061,5.442626747,124.5440391,1477.384862,26.61333642,0.814920317,1,1,92.88702412,4.079339837,3.554824496,72.4334522,119.3280197
2062,5.418511555,124.847932,1484.690884,26.75339606,0.814342185,1,1,92.84694718,4.057451063,3.418756339,72.40513986,120.4443595
2063,5.394503213,125.1525664,1492.033035,26.89419281,0.813764463,1,1,92.80688753,4.03567974,3.287896469,72.37683858,121.5711429
2064,5.370601248,125.4579442,1499.411495,27.03573053,0.81318715,1,1,92.76684517,4.014025236,3.162045527,72.34854836,122.7084677
2065,5.346805187,125.764067,1506.826444,27.17801313,0.812610248,1,1,92.72682008,3.992486925,3.041011786,72.3202692,123.8564324
2066,5.323114561,126.0709369,1514.278061,27.32104453,0.812033754,1,1,92.68681226,3.971064183,2.924610859,72.2920011,125.0151365
2067,5.299528904,126.3785554,1521.766528,27.46482867,0.81145767,1,1,92.64682171,3.949756391,2.812665414,72.26374404,126.1846806
2068,5.276047751,126.6869246,1529.292027,27.60936952,0.810881994,1,1,92.60684841,3.928562932,2.70500491,72.23549803,127.365166
2069,5.252670638,126.9960463,1536.854742,27.75467104,0.810306727,1,1,92.56689235,3.907483191,2.601465331,72.20726306,128.5566951
2070,5.229397104,127.3059222,1544.454856,27.90073726,0.809731867,1,1,92.52695354,3.88651656,2.50188894,72.17903913,129.7593712
2071,5.208543731,127.585491,1551.328785,28.03288869,0.809214861,1,1,92.49102411,3.867747843,2.415700529,72.15364751,130.8519059
2072,5.187773516,127.8656737,1558.233308,28.16566606,0.808698185,1,1,92.45510864,3.849069764,2.332481252,72.12826483,131.9536394
2073,5.167086127,128.1464718,1565.16856,28.29907232,0.808181838,1,1,92.41920711,3.830481885,2.252128823,72.10289108,133.0646492
2074,5.146481234,128.4278865,1572.13468,28.43311047,0.807665822,1,1,92.38331953,3.811983771,2.174544482,72.07752626,134.1850133
2075,5.125958507,128.7099192,1579.131804,28.56778348,0.807150135,1,1,92.34744588,3.793574987,2.09963287,72.05217036,135.3148105
2076,5.105517619,128.9925712,1586.16007,28.70309437,0.806634777,1,1,92.31158616,3.775255102,2.027301913,72.02682338,136.4541203
2077,5.085158243,129.275844,1593.219616,28.83904615,0.806119748,1,1,92.27574036,3.757023688,1.95746271,72.00148531,137.6030228
2078,5.064880055,129.5597388,1600.310583,28.97564187,0.805605048,1,1,92.23990849,3.738880317,1.890029421,71.97615616,138.7615987
2079,5.044682731,129.8442571,1607.43311,29.11288458,0.805090677,1,1,92.20409053,3.720824563,1.824919163,71.95083592,139.9299294
2080,5.024565948,130.1294002,1614.587337,29.25077733,0.804576634,1,1,92.16828647,3.702856005,1.762051911,71.92552459,141.1080971
